Date Time, Deer Creek Penstock #1 Flow, Deer Creek Penstock #2 Flow, Deer Creek Spillway Flow, Deer Creek Salt Lake Aqueduct Flow, Deer Creek Power Diversion Flow, Provo River Bridal Veil Flow
2020-07-04 08:57:58, 255, 329, 0, -105, -478, 0
2020-07-04 08:27:55, 257, 327, 0, -106, -479, 0
2020-07-04 07:57:58, 256, 330, 0, -106, -480, 0
2020-07-04 07:27:54, 254, 333, 0, -107, -479, 0
2020-07-04 06:58:58, 254, 331, 0, -106, -478, 0
2020-07-04 06:27:54, 257, 332, 0, -105, -484, 0
2020-07-04 05:58:57, 256, 332, 0, -106, -483, 0
2020-07-04 05:27:53, 254, 334, 0, -106, -482, 0
2020-07-04 04:57:55, 255, 333, 0, -106, -482, 0
2020-07-04 04:27:58, 255, 332, 0, -106, -480, 0
2020-07-04 03:57:54, 254, 336, 0, -107, -483, 0
2020-07-04 03:27:57, 257, 332, 0, -106, -483, 0
2020-07-04 02:57:54, 257, 345, 0, -123, -478, 0
2020-07-04 02:28:51, 255, 343, 0, -123, -475, 0
2020-07-04 01:57:53, 254, 337, 0, -123, -468, 0
2020-07-04 01:28:57, 255, 338, 0, -123, -470, 0
2020-07-04 00:58:53, 254, 338, 0, -123, -469, 0
2020-07-04 00:27:55, 253, 338, 0, -122, -469, 0
2020-07-03 23:58:58, 254, 337, 0, -123, -468, 0
2020-07-03 23:27:54, 256, 336, 0, -122, -470, 0
2020-07-03 22:57:57, 256, 336, 0, -123, -469, 0
2020-07-03 22:27:54, 254, 336, 0, -122, -469, 0
2020-07-03 21:57:57, 255, 337, 0, -123, -469, 0
2020-07-03 21:27:59, 254, 336, 0, -123, -467, 0
2020-07-03 20:57:56, 252, 336, 0, -122, -465, 0
2020-07-03 20:27:59, 253, 338, 0, -122, -469, 0
2020-07-03 19:57:56, 254, 338, 0, -122, -470, 0
2020-07-03 19:27:58, 254, 338, 0, -123, -469, 0
2020-07-03 18:57:55, 256, 336, 0, -122, -470, 0
2020-07-03 18:27:58, 256, 336, 0, -122, -470, 0
2020-07-03 17:57:55, 256, 337, 0, -122, -471, 0
2020-07-03 17:27:57, 256, 337, 0, -122, -471, 0
2020-07-03 16:57:54, 257, 337, 0, -122, -472, 0
2020-07-03 16:27:57, 255, 334, 0, -122, -467, 0
2020-07-03 15:57:54, 253, 336, 0, -122, -467, 0
2020-07-03 15:27:57, 254, 335, 0, -123, -467, 0
2020-07-03 14:57:54, 256, 334, 0, -122, -468, 0
2020-07-03 14:27:57, 254, 335, 0, -122, -467, 0
2020-07-03 13:57:53, 257, 335, 0, -122, -470, 0
2020-07-03 13:27:56, 255, 335, 0, -123, -467, 0
2020-07-03 12:58:54, 256, 336, 0, -122, -469, 0
2020-07-03 12:27:56, 258, 333, 0, -122, -469, 0
2020-07-03 11:57:59, 253, 336, 0, -122, -466, 0
2020-07-03 11:27:49, 253, 334, 0, -122, -466, 0
2020-07-03 10:57:58, 255, 334, 0, -123, -467, 0
2020-07-03 10:27:55, 254, 334, 0, -122, -466, 0
2020-07-03 09:57:57, 254, 335, 0, -122, -467, 0
2020-07-03 09:27:54, 254, 304, 0, -121, -437, 0
2020-07-03 08:57:57, 255, 269, 0, -120, -404, 0
2020-07-03 08:27:54, 259, 268, 0, -120, -407, 0
2020-07-03 07:57:57, 257, 268, 0, -121, -404, 0
2020-07-03 07:27:53, 254, 268, 0, -120, -402, 0
2020-07-03 06:57:56, 255, 269, 0, -121, -403, 0
2020-07-03 06:27:59, 257, 269, 0, -120, -406, 0
2020-07-03 05:58:57, 255, 268, 0, -120, -403, 0
2020-07-03 05:27:58, 257, 267, 0, -120, -405, 0
2020-07-03 04:57:55, 256, 270, 0, -120, -405, 0
2020-07-03 04:27:57, 255, 268, 0, -120, -403, 0
2020-07-03 03:58:55, 254, 269, 0, -120, -402, 0
2020-07-03 03:27:57, 256, 268, 0, -121, -403, 0
2020-07-03 02:57:54, 256, 268, 0, -120, -404, 0
2020-07-03 02:28:57, 253, 268, 0, -120, -402, 0
2020-07-03 01:58:54, 256, 268, 0, -120, -404, 0
2020-07-03 01:27:56, 255, 268, 0, -120, -403, 0
2020-07-03 00:58:59, 255, 269, 0, -120, -404, 0
2020-07-03 00:28:50, 254, 269, 0, -121, -403, 0
2020-07-02 23:58:53, 255, 267, 0, -120, -403, 0
2020-07-02 23:27:49, 252, 268, 0, -120, -401, 0
2020-07-02 22:58:58, 254, 270, 0, -119, -405, 0
